#class	isLiteral
ByronLawrence	false
ADBaucau	false
XerezCd	false
Oman	false
ClubTijuana	false
GaryRiddell	false
BarbadosNationalFootballTeam	false
FikriElma	false
TamworthFC	false
CoritibaFootBallClub	false
DavidMacgregor	false
FrancoAmoroso	false
LincolnEngland	false
LudivineDiguelman	false
IraqNationalFootballTeam	false
LaPaz	false
Lagos	false
Hoofddorp	false
PacificLutheranUniversity	false
SjaakTroost	false
SliemaWanderersFC	false
JohanSvantesson	false
Fredrikstad	false
JulianAguirreAgudelo	false
GiuseppeKoschier	false
BurnleyFC	false
AsfaYennenga	false
Brussels	false
SremskaMitrovica	false
SouthportFC	false
MartinLepa	false
DjiboutiNationalFootballTeam	false
BelgiumNationalFootballTeam	false
Portsmouth	false
BernardSmithFootballer	false
SjorsVerdellen	false
Spondon	false
OliverGustafsson	false
IvanIvanovFootballerBorn1942	false
WilliamGyves	false
JosefMajer	false
AlbertReadFootballer	false
MohamedBenMouza	false
RichardWilliamsFootballer	false
AndyMoule	false
AshleyFernandes	false
AsNancy	false
Darlington	false
ParaguayNationalFootballTeam	false
LesterLanglais	false
AbdullahMayouf	false
TeamSoccerooFC	false
BoboiSingh	false
Guinea	false
JuanAurich	false
NottsCountyFC	false
SudhakaranKumar	false
DalianShideFC	false
VinceKenny	false
MuayadAlHaddad	false
CircoloSportivoItaliano	false
Kolkata	false
SavaligaAfu	false
BobbyTynan	false
BernardMiddleditch	false
DeportivoTolucaFC	false
SaltoUruguay	false
RobertVanKerkhoven	false
Rennebu	false
AndreaFerrariFootballer	false
LuisReyna	false
Northampton	false
AboubacarBangouraFootballer	false
Sikkim	false
BraintreeTownFC	false
MoroccoNationalFootballTeam	false
SouthKoreaNationalUnder17FootballTeam	false
BoulogneSurMer	false
BilelIfa	false
ClydebankFC	false
RaafatAttia	false
BristolCityFC	false
FrickleyAthleticFC	false
DunfermlineAthleticFC	false
Team	false
Cambridge	false
EnosisNeonParalimniFc	false
CarlosMateusXimenes	false
Fulham	false
MaltaNationalFootballTeam	false
EnzoCrivelli	false
CelticBoysClub	false
PeterHillFootballer	false
UnitedStatesMenSNationalSoccerTeam	false
KikwanchaPyongyang	false
BrimaSesay	false
BuenosAires	false
TomWade	false
RolyGregoire	false
MobinRai	false
Dalian	false
HugoLepe	false
FredEwer	false
YussefAlSuwayed	false
Northumberland	false
FcUtrecht	false
LDAlajuelense	false
FredPelly	false
ArneLinderholm	false
ConstantHuysmans	false
PrasenjitGhosh	false
Egersund	false
WuchuanGuangdong	false
IvanToney	false
ParkSunYong	false
Leeds	false
CercleBruggeKSV	false
MarcelinoVargas	false
YorkCityFC	false
LeeMargerison	false
HangzhouGreentownFC	false
OleChristofferHeierenHansen	false
Jarrow	false
TarmoSaks	false
NewcastleUnitedFC	false
JeongGiDong	false
RealGarcilaso	false
AlexFreitas	false
IkSleipner	false
BrunoAppels	false
ThandaRoyalZuluFC	false
CorinthianFC	false
RCharleroiSC	false
Swansea	false
AugustinFernandes	false
TonyEmery	false
London	false
TokushimaVortis	false
LennyPereira	false
AnthonyWordsworth	false
Recife	false
SheldonGovier	false
France	false
Edinburgh	false
FadelJilal	false
MasoudZeraei	false
EgyptNationalFootballTeam	false
FcPuumaTallinn	false
ArkaGdynia	false
AlfredoBrown	false
TobiasBadila	false
Manchester	false
MarioMedina	false
Grenoble	false
JanekKiisman	false
VikingFk	false
PeterGideon	false
NigeriaNationalFootballTeam	false
AikFotboll	false
Ealing	false
Rabat	false
AntonyLecointe	false
VeriaFC	false
GuangdongSunrayCaveFC	false
OldForestersFC	false
BertieBowler	false
Accra	false
SamiAlHashash	false
FcAk	false
FcAarau	false
ConsettAFC	false
GianpieroCombi	false
KimBongHwan	false
