#superClass	subClass
Team	ADBaucau
Team	NorwichCityFC
Team	XerezCd
Team	ClubTijuana
Team	WaBoufarik
Team	BarbadosNationalFootballTeam
Team	UsOuakam
Team	TamworthFC
Team	CoritibaFootBallClub
Team	SouthamptonFC
Team	IraqNationalFootballTeam
Team	PacificLutheranUniversity
Team	SliemaWanderersFC
Team	BurnleyFC
Team	AsfaYennenga
Team	SouthportFC
Team	BelgiumNationalFootballTeam
Team	DjiboutiNationalFootballTeam
Team	SogndalFotball
Team	AjAuxerre
Team	TimorLesteNationalFootballTeam
Team	FalkenbergsFf
Team	VancouverWhitecapsFc
Team	AstonVillaFC
Team	EnuguRangers
Team	FcTwente
Team	AsNancy
Team	ParaguayNationalFootballTeam
Team	PersijaJakarta
Team	TeamSoccerooFC
Team	IfkEskilstuna
Team	TunisiaNationalFootballTeam
Team	JuanAurich
Team	ArnettGardensFC
Team	NottsCountyFC
Team	DalianShideFC
Team	CircoloSportivoItaliano
Team	AlArabiScKuwait
Team	HednesfordTownFC
Team	WiganBoroughFC
Team	QadsiaSc
Team	DeportivoTolucaFC
Team	WeymouthFC
Team	PersiramRajaAmpat
Team	ClydeFC
Team	BraintreeTownFC
Team	MoroccoNationalFootballTeam
Team	ChesterfieldFC
Team	SouthKoreaNationalUnder17FootballTeam
Team	ClydebankFC
Team	BristolCityFC
Team	FrickleyAthleticFC
Team	DunfermlineAthleticFC
Team	LeytonOrientFC
Team	BangorCityFC
Team	EnosisNeonParalimniFc
Team	OgcNice
Team	MamelodiSundownsFC
Team	MaltaNationalFootballTeam
Team	CelticBoysClub
Team	UnitedStatesMenSNationalSoccerTeam
Team	StJohnstoneFC
Team	KikwanchaPyongyang
Team	StockportCountyFC
Team	AustriaNationalFootballTeam
Team	ChesterCityFC
Team	FcUtrecht
Team	LDAlajuelense
Team	BoNessUnitedFC
Team	BritishVirginIslandsNationalFootballTeam
Team	SalgaocarFC
Team	SheffieldWednesdayFC
Team	CasualsFC
Team	MumbaiTigersFC
Team	LevadiakosFC
